X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,X21,Y21,Z21,X22,Y22,Z22,X23,Y23,Z23,X24,Y24,Z24,X25,Y25,Z25,X26,Y26,Z26,X27,Y27,Z27,X28,Y28,Z28,X29,Y29,Z29,timestamp
-90.39352,-595.23474,1713.3619399999998,-112.04908,-706.0151400000001,1646.55261,-104.82146999999999,-518.32672,1675.3161599999999,-290.10846000000004,-466.57860999999997,1439.37769,-184.79703999999998,-326.56516,1259.8347199999998,-407.74197000000004,-544.31738,1103.75659,-203.66512,-700.93628,1023.48761,97.42898000000001,-506.69135,1419.2262,180.89529,-564.9868799999999,1094.5529800000002,-26.154339999999998,-735.10266,1038.27295,-279.11642,-556.09204,1006.2749,,,,-102.12458000000001,-377.64572000000004,1000.59766,-327.59653,-523.45471,757.4531900000001,-323.87585,-488.83954000000006,520.65118,-348.11267000000004,-442.1275,396.55356,-269.18765,-470.76721,81.27084,-289.21487,-408.09058,37.56023,-357.45395,-587.61084,42.14836,62.99321,-570.02234,641.32758,49.046279999999996,-543.21613,495.32513,97.12889,-493.923,256.09348,86.91166,-474.1691,87.7501,37.05219,-427.49065999999993,42.91648,58.387330000000006,-625.20502,42.7979,-191.36897,-518.7529900000001,496.78824000000003,-352.18341000000004,-449.36148,80.54338,-81.16548,-515.0847200000001,491.28351,-3.4580699999999998,-480.61768,79.76171,0
-90.06368,-595.18665,1713.3261699999998,-111.7538,-705.99866,1646.5199,-104.50457,-518.28271,1675.2998,-290.01315,-466.60709,1439.4583699999998,-184.8356,-326.56057999999996,1259.9093,-407.63617,-544.37964,1103.78271,-203.51683,-700.80994,1023.3149400000001,97.52056999999999,-506.70239000000004,1419.02136,180.69902,-565.16669,1094.39001,-26.43742,-735.14972,1037.80957,-279.11896,-556.05157,1006.3059099999999,,,,-102.15025,-377.58162999999996,1000.6343400000001,-327.66971,-523.36035,757.4940799999999,-323.91519,-488.78705,520.63153,-348.13482999999997,-442.05685,396.56491,-269.18155,-470.72722999999996,81.29069,-289.24438,-408.04684,37.52448,-357.45761,-587.59625,42.13428,63.46646,-569.76764,641.49469,49.086420000000004,-542.99146,495.33029000000005,97.12839,-493.76529000000005,256.09442,86.8891,-474.19324000000006,87.75986,37.08368,-427.14426,43.09274,58.38126,-625.19348,42.77135,-191.4198,-518.69214,496.82430999999997,-352.20096,-449.36469000000005,80.52833000000001,-81.06198,-514.70258,491.3093,-3.44749,-480.60892,79.78954,10
-89.71976,-595.13239,1713.3197,-111.37416,-705.91705,1646.5103800000002,-104.23026,-518.2171599999999,1675.31506,-289.91895,-466.63675,1439.5788599999998,-184.76611,-326.5379,1259.92029,-407.49548,-544.43146,1103.82227,-203.45491,-700.77136,1023.1293900000001,97.60692,-506.68842,1419.01611,180.53862,-565.28613,1094.2218,-26.6888,-735.19873,1037.29626,-279.13751,-555.9757099999999,1006.36084,,,,-102.1471,-377.50961,1000.65845,-327.69452,-523.3140900000001,757.45892,-323.91208,-488.75253,520.61505,-348.18102999999996,-441.98645,396.5654,-268.92789,-470.98633,81.07091,-289.23236,-408.073,37.52967,-357.47033999999996,-587.58966,42.13605,63.4619,-569.6757200000001,641.44421,49.11654,-542.68695,495.36053,97.16176999999999,-493.69086,256.08295,86.91620999999999,-474.13849000000005,87.74139,37.07152,-427.1152,43.08129,58.35995,-625.21246,42.81147,-191.42391999999998,-518.58099,496.77759000000003,-352.18032999999997,-449.35117,80.53255,-81.05841,-514.46161,491.35162,-3.4061800000000004,-480.5817,79.77161,20
-89.39716,-595.0423599999999,1713.3147,-110.94588,-705.85162,1646.51794,-103.98923,-518.15515,1675.3347199999998,-289.81821,-466.62143,1439.67249,-184.79564,-326.50864,1259.99182,-407.3898,-544.43359,1103.90173,-203.46112,-700.83398,1022.91486,97.38318000000001,-506.95023,1418.7069099999999,180.30331,-565.3915400000001,1093.99194,-26.84625,-735.27716,1036.8269,-279.01642000000004,-556.03534,1006.3396,,,,-102.17675,-377.45645,1000.67969,-327.68115,-523.24176,757.48279,-323.92285,-488.69638,520.63208,-348.16281000000004,-441.9393,396.55505,-269.1828,-470.73502,81.30951999999999,-289.23245,-408.06152000000003,37.55935,-357.46088,-587.55341,42.1525,63.47387,-569.44196,641.42108,49.19958,-542.44196,495.39539,97.2156,-493.56589,256.09659,86.91525,-474.07794,87.75171999999999,37.093379999999996,-427.48679000000004,42.858740000000004,58.40813000000001,-625.17908,42.813309999999994,-191.44681,-518.49847,496.80667,-352.18811,-449.34784,80.50623,-81.01801,-514.1247599999999,491.31705,-3.4062699999999997,-480.57138,79.83306,30
-89.05335,-594.95026,1713.3096899999998,-110.58012,-705.7593400000001,1646.58374,-103.68536,-518.34882,1675.15356,-289.69101,-466.61752,1439.7645300000001,-184.77858999999998,-326.47128,1260.01624,-407.1153,-544.4291400000001,1103.9057599999999,-203.49847,-700.85492,1022.5838,97.73434,-506.84445,1418.72522,180.11473,-565.3369799999999,1093.74805,-26.904770000000003,-735.3139,1036.3241,-278.94138,-556.0416299999999,1006.3225699999999,,,,-102.20784,-377.37595,1000.71277,-327.71725,-523.15472,757.4903,-323.91821,-488.68231,520.64417,-348.22037,-441.90814000000006,396.5433,-269.19777999999997,-470.7178,81.34656,-289.22031,-408.05707,37.56028,-357.44635,-587.6272,42.15786,63.52641,-569.2637900000001,641.44763,49.201409999999996,-542.28772,495.39218,97.21931,-493.48044000000004,256.10471,86.94485999999999,-474.10529,87.75214,37.11272,-427.15612999999996,43.091429999999995,58.450469999999996,-625.20135,42.759879999999995,-191.42012,-518.44385,496.87579000000005,-352.18892999999997,-449.35495,80.52115,-80.96679,-513.95032,491.3179,-3.3841,-480.54663,79.79271999999999,40
-88.70679,-594.82715,1713.3092,-110.33333999999999,-705.72638,1646.6254900000001,-103.44474,-518.26306,1675.1862800000001,-289.57794,-466.58389000000005,1439.88074,-184.7233,-326.44046000000003,1260.0612800000001,-406.9263,-544.38202,1103.91443,-203.51561,-700.91388,1022.2612300000001,97.54808,-507.06613,1418.49182,179.91316,-565.39984,1093.59729,-26.86723,-735.4444,1035.7567099999999,-278.99515,-555.95642,1006.3663300000001,,,,-102.23676999999999,-377.30672999999996,1000.72736,-327.72832999999997,-523.10632,757.49005,-323.98007,-488.60117,520.63776,-348.28598,-441.87054000000006,396.5719,-269.20364,-470.73217999999997,81.32176,-289.2403,-408.04694,37.52724,-357.48425,-587.5686,42.13705,63.53638,-569.10461,641.42615,49.25866,-542.15558,495.36279,97.26338,-493.37987999999996,256.09836,86.9327,-474.03615999999994,87.70501999999999,37.10568,-427.10992000000005,43.05677,58.40555,-625.1807299999999,42.79929,-191.47438,-518.33478,496.80499000000003,-352.18271,-449.33840999999995,80.53791,-80.92600999999999,-513.6955,491.33893,-3.3654599999999997,-480.50692999999995,79.81266,50
-88.4153,-594.73376,1713.3172600000003,-110.03138999999999,-705.63629,1646.69739,-103.23598,-518.1745599999999,1675.1453900000001,-289.51202,-466.54205,1439.9387199999999,-184.65068,-326.4133,1260.12,-406.87088,-544.6084599999999,1103.91858,-203.59573,-700.99591,1022.00897,97.63461,-507.134,1418.34619,179.7254,-565.3630400000001,1093.31396,-26.74148,-735.5812400000001,1035.2182599999999,-279.00385,-555.9078400000001,1006.3624900000001,,,,-102.25208,-377.22528,1000.77661,-327.76767,-523.0314900000001,757.46869,-323.99777,-488.59482,520.64996,-348.29047,-441.82030999999995,396.58804,-269.21188,-470.70025999999996,81.31538,-289.25527999999997,-408.05411000000004,37.522240000000004,-357.43207,-587.57025,42.15164,63.58351,-568.901,641.4834,48.31438,-542.26709,495.29501,97.22684,-493.27835,256.10733,86.9403,-474.02835,87.77879,37.114329999999995,-427.47986,42.86169,58.443509999999996,-625.13354,42.78859,-191.44087,-518.31165,496.87255999999996,-352.19791000000004,-449.35532,80.53421,-80.91266999999999,-513.60101,491.32977,-3.39665,-480.4754,79.8401,60
-88.145,-594.61334,1713.34009,-109.71883000000001,-705.57416,1646.76001,-103.02481999999999,-518.08112,1675.16174,-289.38846,-466.53397,1440.01794,-184.61137,-326.33926,1260.2291300000002,-406.67087000000004,-544.48615,1103.91479,-203.79846,-700.99677,1021.71777,97.78806,-507.18048,1418.19958,179.442,-565.27161,1093.04773,-26.497759999999996,-735.73181,1034.66553,-278.99953999999997,-555.83386,1006.3595,,,,-102.28421999999999,-377.15594,1000.7774699999999,-327.74953999999997,-522.97388,757.48004,-323.99567,-488.55865,520.6560099999999,-348.28397,-441.85177999999996,396.53033,-269.22556000000003,-470.6814,81.31541,-289.23505,-408.04648,37.545559999999995,-357.44989,-587.6098599999999,42.15078,63.95041,-568.63544,641.74634,49.34085,-541.7605599999999,495.43582000000004,97.26343,-493.15198,256.09893999999997,86.95215999999999,-473.95963,87.68449,37.09854,-427.09729000000004,43.04623,58.39613000000001,-625.16595,42.824020000000004,-191.49202,-518.25293,496.86312999999996,-352.19077000000004,-449.33095999999995,80.52895,-80.90759,-513.41632,491.32532000000003,-3.3239699999999996,-480.50989000000004,79.82217,70
-87.86825,-594.4671599999999,1713.3701199999998,-109.39793,-705.4429299999999,1646.84985,-102.81345,-517.96643,1675.1502699999999,-289.25607,-466.52267,1440.0769,-184.53378,-326.27109,1260.2694099999999,-406.50439,-544.37518,1103.93018,-204.07703,-701.1116900000001,1021.4359699999999,97.94869,-507.24222000000003,1418.06628,179.43456,-565.12982,1092.81604,-26.08721,-736.0144700000001,1034.04175,-279.02344,-555.71143,1006.42224,,,,-102.30683,-377.04733,1000.8245199999999,-327.80523999999997,-522.9279799999999,757.51782,-324.01743,-488.53894,520.62921,-348.29306,-441.80338,396.53577,-269.19827000000004,-470.6712,81.32828,-289.27423,-408.0434,37.53865,-357.45944,-587.59308,42.169140000000006,63.12486,-568.62238,641.30463,49.27176,-541.63776,495.40340999999995,97.26704000000001,-493.09216,256.11203,86.94549,-473.9451,87.70124,37.11489,-427.07813,43.03644,58.423559999999995,-625.18524,42.78117,-191.49461000000002,-518.26526,496.83770999999996,-352.19321,-449.34244,80.5375,-80.88305,-513.29175,491.27025999999995,-3.32945,-480.44748,79.82234,80
-87.63329,-594.34796,1713.42261,-109.08469,-705.33447,1646.93665,-102.58084000000001,-517.8471099999999,1675.15466,-289.15869,-466.50897000000003,1440.14063,-184.49232,-326.22,1260.36743,-406.36707,-544.27478,1103.90063,-204.33405,-701.24628,1021.11548,98.09418000000001,-507.27423,1417.90332,179.33386000000002,-564.8294099999999,1092.52856,-25.55859,-736.297,1033.37219,-279.05112,-555.65546,1006.45355,,,,-102.35171,-376.96231,1000.86365,-327.83859,-522.86505,757.54034,-324.03561,-488.50812,520.6701,-348.35593,-441.77270999999996,396.56909,-269.19434,-470.69420999999994,81.32661,-289.24655,-408.03085,37.53411,-357.46597,-587.5808099999999,42.17648,63.888569999999994,-568.3562,641.79749,49.28838,-541.461,495.39716,97.25034000000001,-493.02620999999994,256.13394,86.94672,-473.91882000000004,87.73414,37.141220000000004,-427.12665,43.01166,58.417790000000004,-625.14264,42.8476,-191.47121,-518.2470099999999,496.883,-352.17657,-449.37805,80.50036999999999,-80.89315,-513.1369,491.28848,-3.34816,-480.44565,79.8685,90
