X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,X21,Y21,Z21,X22,Y22,Z22,X23,Y23,Z23,X24,Y24,Z24,X25,Y25,Z25,X26,Y26,Z26,X27,Y27,Z27,X28,Y28,Z28,X29,Y29,Z29,timestamp
-18.196260000000002,-492.88876,1685.92957,-43.08725,-593.95416,1657.32581,-5.07144,-439.05957,1639.7262,-139.11606,-428.56392999999997,1420.55383,-91.98277,-272.64484,1313.33972,-355.35199,-538.91113,1181.10352,-133.48026000000002,-673.5971099999999,1234.02002,151.14638,-435.8175,1436.80322,318.04651,-481.2045,1139.02197,158.29411000000002,-675.05829,1202.1851800000002,-101.33218000000001,-496.73587000000003,979.1273199999999,150.54199,-496.02945,982.52051,19.77147,-301.43823,1025.37537,-134.07652,-468.03799000000004,690.66809,-106.98625,-411.71387000000004,456.28659000000005,-127.48398999999999,-348.78372,322.56737999999996,-112.76921000000002,-321.15842000000004,88.49445,-54.51291,-286.49725,48.81514,-124.87791999999999,-482.22997999999995,41.414320000000004,214.42334,-416.5033,606.9978,194.17588999999998,-410.11014,462.04257,203.65694,-342.00142999999997,248.89087999999998,206.32146,-343.61084,67.32309000000001,144.91521,-311.93076,39.34792,219.34125,-503.78802,25.34434,-3.4298599999999997,-413.8674,449.23690999999997,-36.28374,-349.40659,76.73179,107.58691999999999,-445.53458,437.19280999999995,126.61051,-370.37814,87.93281,0
-18.16856,-492.87737999999996,1685.9699699999999,-43.129940000000005,-593.96442,1657.42786,-4.9566300000000005,-438.9472,1639.7356,-139.09912,-428.60070999999994,1420.55359,-91.88951999999999,-272.70648,1313.35999,-355.39133,-538.8247700000001,1181.09534,-133.55033999999998,-673.47656,1234.0562699999998,151.1944,-435.90767999999997,1436.79236,318.04498,-481.30206,1138.96985,158.29901,-675.23651,1202.37158,-101.36273,-496.83405,979.10693,150.50873,-496.21835,982.4924300000001,19.79723,-301.56424,1025.37488,-134.09575,-468.06815,690.67548,-106.95295,-411.74445,456.29419,-127.48382,-348.86087000000003,322.44247,-112.76478,-321.20092999999997,88.5097,-54.50594,-286.48627,48.80637,-124.81448999999999,-482.1795,41.40614,214.3932,-416.56824,606.9954799999999,194.1355,-410.23721,462.04346,203.63028,-341.9888,248.91115,206.3121,-343.59796,67.28934,144.94586,-311.9227,39.327009999999994,219.44606000000002,-503.457,25.42391,-3.4421699999999995,-413.84644,449.21063,-36.29218,-349.35281000000003,76.73734,107.58798,-445.59810999999996,437.2146,126.57021999999999,-370.40872,87.93531,10
-18.09378,-492.86444000000006,1685.97717,-43.13365,-593.9522099999999,1657.4873,-4.90839,-439.13971,1639.76843,-139.02327,-428.6633,1420.57764,-91.801,-272.79095,1313.35547,-355.42572,-538.77875,1181.14807,-133.44762,-673.3335,1234.0275900000001,151.25294,-436.10547,1436.73755,318.02932999999996,-481.65826,1138.9428699999999,158.31386,-675.3915400000001,1202.60974,-101.39931,-496.91152999999997,979.10004,150.48998999999998,-496.37048,982.47345,19.780160000000002,-301.65265,1025.396,-134.16029,-468.10335999999995,690.64801,-107.00145,-411.76205,456.26140999999996,-127.50426000000002,-348.87878,322.4523,-112.77026000000001,-321.2088,88.48336,-54.50629,-286.49548,48.78853,-124.87392,-482.09945999999997,41.405559999999994,214.34932,-416.64792,606.98785,194.14733999999999,-410.24759,462.01477,203.62607,-341.93777,248.90117,206.35065,-343.59082,67.29588000000001,144.95161000000002,-311.94986,39.33615,219.32008,-503.75046,25.30774,-3.4302699999999997,-413.9967,449.26965,-36.276559999999996,-349.33496,76.72603000000001,107.56711999999999,-445.5332,437.18045,126.34508999999998,-371.38251,87.38834,20
-18.0743,-492.8779,1686.0400399999999,-43.156,-593.95422,1657.5692099999999,-4.808680000000001,-439.12997,1639.75525,-139.04913,-428.6409,1420.56238,-91.74414,-272.85437,1313.37,-355.46066,-538.72028,1181.16956,-133.38136,-673.14575,1234.06836,151.26367,-436.21628,1436.6947,317.9856,-481.71979000000005,1138.84546,158.31276,-675.5097,1202.90942,-101.39404,-497.05566,979.09985,150.4614,-496.48648,982.43256,19.79356,-301.7962,1025.41418,-134.13947,-468.18552,690.65607,-106.97471999999999,-411.77572999999995,456.26419000000004,-127.47158,-348.82544,322.57407,-112.7354,-321.25574,88.45787,-54.52559,-286.49953999999997,48.80281,-124.91156000000001,-482.24730999999997,41.41863,214.33925,-416.73425,606.9693599999999,194.1436,-410.34508999999997,462.01266,203.63423,-342.08288999999996,248.89912,206.33336,-343.59567000000004,67.26456,144.95688,-311.93536,39.320009999999996,219.32782000000003,-503.78225999999995,25.29296,-3.43056,-413.93948,449.23944000000006,-36.243759999999995,-349.36267000000004,76.77512,107.53063999999999,-445.69473,437.19696,126.34499,-371.3609,87.41328,30
-18.03305,-492.8671,1686.05432,-43.156940000000006,-594.0002400000001,1657.62671,-4.76532,-439.20495999999997,1639.76196,-139.02696,-428.66787999999997,1420.54199,-91.56269,-272.96796,1313.35168,-355.49741,-538.67493,1181.1814,-133.25087,-672.94373,1234.0997300000001,151.29584,-436.40905999999995,1436.64478,317.93057000000005,-482.05655,1138.75708,158.31572,-675.62128,1203.25989,-101.4162,-497.04760999999996,979.06842,150.47372,-496.59943,982.4032599999999,19.832179999999997,-301.86591,1025.40198,-134.16737,-468.21274000000005,690.65063,-106.9332,-411.81958,456.23355,-127.43068000000001,-348.90717,322.4339,-112.73876000000001,-321.21218999999996,88.47829,-54.48729,-286.47213999999997,48.79485,-124.86456000000001,-482.27695,41.350640000000006,214.36421,-416.83307,606.9386599999999,194.12601,-410.40161,462.0137,203.66515,-342.15662000000003,248.89018,206.30623,-343.58963,67.31326,144.9407,-311.94479,39.32718,219.31456,-503.74207,25.30415,-2.78507,-415.98676,448.8844,-36.24835,-349.36899,76.76383,107.55011,-445.74810999999994,437.15545999999995,126.56298000000001,-370.48792000000003,87.91841,40
-17.9776,-492.92258,1686.0847199999998,-43.114090000000004,-594.0792799999999,1657.68494,-4.75248,-439.11264000000006,1639.74109,-138.95383999999999,-428.76089,1420.54749,-91.50887,-272.94858,1313.34619,-355.50015,-538.65063,1181.21545,-133.22482,-672.82117,1234.24658,151.35075,-436.58432,1436.59485,317.88953,-482.24643,1138.6453900000001,158.31273000000002,-675.6962900000001,1203.6756599999999,-101.43561,-497.12615999999997,979.05701,150.44295,-496.75833,982.3997199999999,19.85033,-301.94592,1025.42285,-134.1591,-468.23992999999996,690.61572,-106.91915,-411.83667,456.24182,-127.43441999999999,-348.92502,322.46143,-112.7232,-321.21227999999996,88.49044,-54.444359999999996,-286.52521,48.7576,-124.86379,-482.276,41.37348,214.33077999999998,-416.89505,606.94751,194.08903999999998,-410.483,461.98540999999994,203.63551,-342.13608,248.89191,206.33624,-343.61337000000003,67.30768,144.97693999999998,-311.92368,39.32926,219.35823,-503.80392,25.32991,-3.40215,-414.14191,449.25604000000004,-36.226,-349.33444,76.75045,107.50666000000001,-445.80658,437.16882000000004,126.58821,-370.33154,87.91051,50
-17.98094,-492.99832000000004,1686.06763,-43.12008,-594.09113,1657.69092,-4.72575,-439.27554000000003,1639.77148,-138.98073,-428.76940999999994,1420.54602,-91.47484,-273.04752,1313.3555900000001,-355.55377000000004,-538.60864,1181.21094,-133.15381000000002,-672.70038,1234.41772,151.37999,-436.75565,1436.51575,317.78336,-482.3688,1138.5374800000002,158.3735,-675.78015,1204.07397,-101.4459,-497.19385,979.02313,150.41738999999998,-496.93277,982.34552,19.90408,-302.0639,1025.39001,-134.20703,-468.27612,690.61011,-106.93703000000001,-411.88312,456.24627999999996,-127.41925,-348.87292,322.53546,-112.75917,-321.24307000000005,88.49585,-54.44549,-286.54135,48.78667,-124.86813000000001,-482.21520999999996,41.40298,214.33289,-417.0473,606.9305400000001,194.06149,-410.55969,462.0098,203.65416000000002,-342.19571,248.84267000000003,206.3111,-343.62851,67.29255,144.95921,-311.93866,39.31675,219.45602000000002,-503.45715,25.36802,-2.7611,-416.05157,448.89935,-36.21286,-349.38965,76.71712,107.46847,-445.7778,437.14133,126.30181,-371.34259,87.31864,60
-17.95544,-492.97025,1686.0679899999998,-43.15,-594.11194,1657.75269,-4.703180000000001,-439.3331,1639.76123,-138.90752,-428.83307,1420.50256,-91.31253000000001,-273.16931,1313.33069,-355.59893999999997,-538.59821,1181.26416,-133.07228,-672.54669,1234.58716,151.43657,-436.73773,1436.43457,317.73737,-482.32877,1138.44446,158.47224,-675.8980700000001,1204.43921,-101.49039,-497.28073,979.01453,150.40533,-497.05042000000003,982.30994,19.91025,-301.83389,1025.4939,-134.17799,-468.31375,690.61194,-106.90187,-411.86227,456.2616,-127.38162,-348.88385,322.55615,-112.76347,-321.25116,88.49240999999999,-54.4265,-286.51022,48.80369,-124.86118,-482.52289,41.3019,214.24702000000002,-417.09682999999995,606.88342,194.03496,-410.48355,461.95959000000005,203.61049,-342.18216,248.89597999999998,206.286,-343.60213999999996,67.22998,144.93204,-311.94656000000003,39.338159999999995,219.33524,-503.78655999999995,25.28698,-2.77276,-416.05142,448.8913,-36.21417,-349.39148,76.73340999999999,107.43976,-445.74445,437.10339000000005,126.56585,-370.45331,87.87648,70
-17.99531,-493.01917000000003,1686.08704,-43.15882,-594.15405,1657.74084,-4.765630000000001,-439.34528,1639.74487,-138.84045,-428.84174,1420.5090300000002,-91.24705,-273.13254,1313.2874800000002,-355.60938,-538.5542,1181.29688,-133.05025,-672.40161,1234.72424,151.45006999999998,-437.04474000000005,1436.4863300000002,317.64615,-482.59924,1138.38916,158.686,-676.1311599999999,1204.74243,-101.49864000000001,-497.31827000000004,978.9837,150.40341,-497.14642000000003,982.28223,19.98524,-301.97562,1025.45874,-134.16283,-468.36935,690.60577,-106.88701999999999,-411.88391,456.26815999999997,-127.37473,-348.89227,322.55426,-112.7139,-321.23562999999996,88.50537,-54.444790000000005,-286.5022,48.79939,-124.88524,-482.26532000000003,41.36288,214.21025,-417.16391,606.90527,193.99138,-410.59686,461.9512,203.59784,-342.2486,248.8736,206.28326,-343.64432,67.23033000000001,144.93413,-311.94736,39.29569,219.31364,-503.75305,25.31576,-2.74525,-416.10757,448.91430999999994,-36.19397,-349.37482,76.73853000000001,107.38733,-445.74002,437.06595,126.53912,-370.4642,87.85125,80
-18.00236,-493.07375999999994,1686.07837,-43.15566,-594.16949,1657.75403,-4.7081599999999995,-439.41702000000004,1639.73389,-138.82654,-428.85553,1420.49622,-91.21876,-273.18896,1313.31543,-355.66247999999996,-538.526,1181.37354,-133.03521999999998,-672.27319,1234.79175,151.49249,-437.17484,1436.39209,317.61896,-482.73029,1138.3328900000001,158.85568,-676.75421,1204.87805,-101.5523,-497.38562,978.97681,150.36497,-497.26705999999996,982.2561,19.95308,-302.12866,1025.4668,-134.16177,-468.34622,690.59308,-106.89156000000001,-411.88577000000004,456.23987,-127.38326,-348.94543,322.45187000000004,-112.69133000000001,-321.23526,88.48546,-54.470040000000004,-286.52161,48.82323,-124.91973,-482.26627,41.39985,214.23847999999998,-417.27679,606.85699,193.98224,-410.64078,461.93892999999997,203.56915,-342.26662999999996,248.85835,206.26038,-343.61926,67.21974,144.93248,-311.96869,39.30118,219.44547000000003,-503.48465,25.368029999999997,-2.7235099999999997,-416.11996,448.88156,-36.2191,-349.3526,76.72626,107.37518,-445.6618,437.04970999999995,126.55288999999999,-370.36102,87.842,90
